	Ημ/νία	Τελευταία	’νοιγμα	Υψηλό	Χαμηλό	Όγκος	Αλλ.%
221	02.12.2022	236,13	233,89	238,47	233,59	2220000	-1,61%
220	05.12.2022	232,57	234,8	235,91	232,26	2060000	1,82%
219	06.12.2022	228,29	232,59	233,05	225,56	3630000	-0,43%
218	07.12.2022	228,98	227	229,84	225,78	3040000	0,82%
217	08.12.2022	230,92	230,91	232,5	229,54	2190000	1,91%
216	09.12.2022	227,29	232	232,81	227,19	2260000	0,82%
215	12.12.2022	233,06	227,55	233,4	227,02	2710000	1,21%
214	13.12.2022	235,49	237,82	237,92	232,13	2950000	-1,37%
213	14.12.2022	234,48	236,06	238,22	233,12	3510000	1,05%
212	15.12.2022	230,66	232,16	232,93	227,72	2950000	-0,93%
211	16.12.2022	232,72	228,63	233,21	228,05	7610000	-0,38%
210	19.12.2022	232,29	233,9	236,93	230,93	2620000	-0,50%
209	20.12.2022	235,14	232,44	235,72	231,86	2650000	0,24%
208	21.12.2022	241,73	237,66	241,91	237,66	4140000	-1,03%
207	22.12.2022	237,54	240,15	240,8	233,04	3130000	-2,52%
206	23.12.2022	239,87	236,95	240,54	236,5	1960000	-0,24%
205	27.12.2022	243,14	240,69	245,05	239,72	3380000	0,49%
204	28.12.2022	239,38	243,14	243,82	238,27	2270000	-0,25%
203	29.12.2022	240,2	241,21	241,61	238,27	1650000	0,58%
202	30.12.2022	239,56	239,39	240,16	237,7	1520000	0,44%
201	03.01.2023	238,88	240,68	240,68	236,2	2650000	1,88%
200	04.01.2023	241,36	240	242,13	238,55	2390000	-1,78%
199	05.01.2023	240,28	240,53	241,54	237,56	2360000	-2,13%
198	06.01.2023	248,86	242,89	249,91	242,24	3950000	-0,37%
197	09.01.2023	246,62	249,01	250,97	246	3420000	8,85%
196	10.01.2023	250,51	246,95	250,84	246,45	3010000	1,82%
195	11.01.2023	250,73	251,49	251,89	247,13	2400000	0,82%
194	12.01.2023	255,07	252	257,38	251,01	3880000	-0,01%
193	13.01.2023	258,46	256,8	258,58	255,23	3070000	-1,43%
192	17.01.2023	256,26	258,86	260,5	255,93	4100000	1,04%
191	18.01.2023	252,82	257,28	258,91	252,07	3360000	0,67%
190	19.01.2023	245,75	250,48	251,25	244,3	4890000	-1,32%
189	20.01.2023	249,71	246,87	249,92	244,76	2960000	-0,63%
188	23.01.2023	252,7	250,75	253,68	249,27	2610000	-0,40%
187	24.01.2023	257,61	252,88	259,05	249,75	3510000	2,47%
186	25.01.2023	258,44	254,53	259,18	254,32	2420000	0,72%
185	26.01.2023	262,12	260	262,26	256,89	2680000	-0,09%
184	27.01.2023	264,54	262,46	266,04	262,12	2780000	0,89%
183	30.01.2023	261,5	263,34	265	261,31	3430000	0,30%
182	31.01.2023	252,29	257	257,39	246,41	10990000	1,62%
181	01.02.2023	249,54	251,75	252,7	245,31	6020000	1,48%
180	02.02.2023	244,9	249,33	249,53	241,8	6130000	1,91%
179	03.02.2023	247,76	244	250,95	243,13	4130000	-1,74%
178	06.02.2023	251,42	248,11	252,14	248	3530000	-1,01%
177	07.02.2023	249,66	250,55	252	245,35	3470000	0,52%
176	08.02.2023	248,87	248,1	251,56	247,08	2300000	0,74%
175	09.02.2023	246,28	250	251,97	245,48	2460000	0,98%
174	10.02.2023	247,67	246,28	248,63	244,64	2820000	0,49%
173	13.02.2023	248,15	243,5	248,38	242,65	3070000	1,58%
172	14.02.2023	244,36	247,01	247,31	241,65	2510000	1,07%
171	15.02.2023	248,7	244,2	248,77	243,23	2400000	-1,22%
170	16.02.2023	246,52	246,5	248,53	244,52	1930000	-1,71%
169	17.02.2023	247,79	247,86	250,86	245,63	3760000	0,14%
168	21.02.2023	240,71	244,5	248	239,75	3110000	-1,68%
167	22.02.2023	237,89	241,19	242,23	236,42	3150000	-0,97%
166	23.02.2023	237,95	240,67	240,83	235,6	3220000	1,79%
165	24.02.2023	236,17	235,23	236,69	233,02	2110000	-0,86%
164	27.02.2023	239,98	239,1	241,25	238,72	1720000	3,17%
163	28.02.2023	239,55	240,94	241,1	238,71	2650000	1,22%
162	01.03.2023	248,67	242,01	249,7	241,57	4120000	0,25%
161	02.03.2023	252,18	246,51	252,49	246,13	2680000	-0,47%
160	03.03.2023	255,31	252,39	255,4	249,91	2310000	3,91%
