	Ημ/νία	Τελευταία	’νοιγμα	Υψηλό	Χαμηλό	Όγκος	Αλλ.%
256	06.02.2023	1,5666	1,6048	1,6259	1,5384	6330000	0,80%
255	07.02.2023	1,6033	1,5683	1,6166	1,5614	4430000	-1,16%
254	08.02.2023	1,5361	1,6039	1,6168	1,5255	5060000	-3,80%
253	09.02.2023	1,3934	1,5369	1,5521	1,3616	6970000	2,58%
252	10.02.2023	1,4128	1,3904	1,4539	1,3901	3490000	-2,76%
251	11.02.2023	1,4354	1,411	1,4409	1,3997	1670000	0,39%
250	12.02.2023	1,4503	1,4359	1,5172	1,4185	3920000	-1,62%
249	13.02.2023	1,3726	1,4508	1,4613	1,3364	5440000	0,94%
248	14.02.2023	1,4336	1,372	1,5053	1,3615	8170000	-3,95%
247	15.02.2023	1,4975	1,4335	1,5066	1,401	5670000	1,59%
246	16.02.2023	1,4083	1,4981	1,5247	1,4023	8790000	0,04%
245	17.02.2023	1,4675	1,4088	1,4944	1,4039	5010000	4,60%
244	18.02.2023	1,4679	1,4681	1,4925	1,4501	2940000	-0,88%
243	19.02.2023	1,4404	1,4677	1,4927	1,4331	3600000	-0,93%
242	20.02.2023	1,4827	1,4415	1,4896	1,4307	4100000	8,26%
241	21.02.2023	1,4907	1,4841	1,5691	1,4477	11230000	1,51%
240	22.02.2023	1,4363	1,491	1,4993	1,3922	5340000	12,16%
239	23.02.2023	1,4249	1,4355	1,4553	1,4044	3060000	2,30%
238	24.02.2023	1,3899	1,4238	1,4304	1,3651	2870000	-0,87%
237	25.02.2023	1,3581	1,3896	1,3938	1,314	2340000	-0,22%
236	26.02.2023	1,3988	1,3585	1,431	1,3505	3030000	-17,95%
235	27.02.2023	1,3562	1,3983	1,3983	1,3514	2030000	0,39%
234	28.02.2023	1,3189	1,3554	1,3596	1,293	3620000	1,01%
233	01.03.2023	1,3386	1,3183	1,3506	1,307	2810000	-8,84%
232	02.03.2023	1,2966	1,3386	1,3447	1,2777	2550000	2,40%
231	03.03.2023	1,3128	1,2966	1,3453	1,2341	9270000	-11,07%
230	04.03.2023	1,3764	1,313	1,4498	1,286	18430000	-0,43%
229	05.03.2023	1,3269	1,376	1,3943	1,3227	5240000	0,20%
228	06.03.2023	1,2801	1,3254	1,3392	1,2609	4570000	0,44%
227	07.03.2023	1,2507	1,2809	1,3215	1,2163	6260000	-0,78%
226	08.03.2023	1,1865	1,2517	1,2582	1,1646	3380000	-1,34%
225	09.03.2023	1,1313	1,1908	1,196	1,0843	4490000	-0,43%
224	10.03.2023	1,1102	1,1317	1,1317	1,0094	8890000	-2,27%
223	11.03.2023	1,2113	1,1102	1,2709	1,0876	13580000	2,02%
222	12.03.2023	1,2455	1,2107	1,2584	1,1725	11410000	2,09%
221	13.03.2023	1,2597	1,2449	1,305	1,197	10580000	0,91%
220	14.03.2023	1,2717	1,26	1,31	1,2142	8770000	-0,58%
219	15.03.2023	1,1956	1,2701	1,2858	1,1748	4690000	-2,62%
218	16.03.2023	1,2026	1,1956	1,2235	1,1756	3360000	3,01%
217	17.03.2023	1,243	1,2019	1,253	1,1934	4430000	0,50%
216	18.03.2023	1,22	1,2438	1,3205	1,2123	6860000	-2,45%
215	19.03.2023	1,2521	1,2205	1,2773	1,2124	3400000	0,77%
214	20.03.2023	1,1971	1,2526	1,273	1,195	4090000	-2,19%
213	21.03.2023	1,232	1,2001	1,2407	1,1717	2680000	-0,35%
212	22.03.2023	1,1858	1,231	1,2441	1,1437	4630000	1,59%
211	23.03.2023	1,1999	1,1855	1,2078	1,1601	3390000	-1,68%
210	24.03.2023	1,1866	1,1996	1,2045	1,1615	2450000	-0,34%
209	25.03.2023	1,1796	1,1869	1,2146	1,1658	3560000	0,21%
208	26.03.2023	1,1833	1,1794	1,1974	1,1698	2190000	-0,38%
207	27.03.2023	1,0981	1,1833	1,1927	1,0881	5150000	4,12%
206	28.03.2023	1,1324	1,0994	1,1532	1,0744	4820000	-2,32%
205	29.03.2023	1,1523	1,1336	1,1913	1,1292	3900000	0,93%
204	30.03.2023	1,1774	1,154	1,2537	1,1508	9990000	-0,28%
203	31.03.2023	1,1883	1,1767	1,2071	1,1503	4430000	-3,59%
202	01.04.2023	1,1766	1,1883	1,2005	1,1641	2450000	-0,35%
201	02.04.2023	1,1614	1,1772	1,1947	1,1502	2460000	-2,96%
200	03.04.2023	1,1421	1,1621	1,163	1,1238	3270000	0,73%
199	04.04.2023	1,1827	1,1426	1,1922	1,1347	3920000	-0,09%
198	05.04.2023	1,281	1,183	1,3093	1,1767	22080000	0,85%
197	06.04.2023	1,2364	1,281	1,374	1,2207	16220000	0,62%
196	07.04.2023	1,2029	1,236	1,2448	1,2005	3940000	-2,85%
195	08.04.2023	1,2267	1,2022	1,284	1,2009	4540000	1,02%
194	09.04.2023	1,2529	1,2266	1,2726	1,2172	4210000	0,52%
193	10.04.2023	1,2399	1,2532	1,2583	1,2166	3320000	-1,04%
192	11.04.2023	1,2299	1,24	1,2537	1,2224	3960000	1,38%
191	12.04.2023	1,2125	1,2304	1,2325	1,188	3350000	-1,69%
190	13.04.2023	1,2367	1,213	1,2383	1,2033	2750000	0,59%
189	14.04.2023	1,2697	1,2367	1,2729	1,221	4970000	-1,59%
188	15.04.2023	1,2395	1,2693	1,2693	1,2332	3280000	-3,18%
187	16.04.2023	1,2568	1,2397	1,269	1,2256	3010000	2,83%
186	17.04.2023	1,3103	1,2574	1,3487	1,2361	14640000	-3,33%
185	18.04.2023	1,3445	1,3092	1,352	1,2856	8210000	-2,03%
184	19.04.2023	1,2644	1,3443	1,3487	1,2543	5990000	-5,96%
183	20.04.2023	1,2387	1,2664	1,3181	1,2305	4650000	2,61%
182	21.04.2023	1,1974	1,2367	1,2776	1,19	5100000	4,26%
181	22.04.2023	1,2313	1,1971	1,2395	1,1877	4090000	1,40%
180	23.04.2023	1,1921	1,2321	1,2354	1,1737	3130000	-2,38%
179	24.04.2023	1,1731	1,1918	1,1999	1,1603	3130000	2,67%
178	25.04.2023	1,18	1,1722	1,1838	1,1278	3080000	2,00%
177	26.04.2023	1,16	1,1807	1,2162	1,1132	5270000	-1,41%
176	27.04.2023	1,176	1,1609	1,1872	1,1585	2380000	-0,81%
